target,text,num_characters,num_words,num_sentences,transformed_text
0,pl go ahead watt want sure great weekend abiola,82,20,4,pl go ahead watt want sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummi,142,35,4,forget tell want need crave love sweet arabian steed mmmmmm yummi
1,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,172,34,2,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord plea call 08000930705 deliveri tomorrow
0,see,19,5,1,see
0,great hope like man well endow lt gt inch,72,22,3,great hope like man well endow lt gt inch
0,call messag miss call,32,7,1,call messag miss call
0,get hep b immunis nigeria,45,10,1,get hep b immuni nigeria
0,fair enough anyth go,31,7,1,fair enough anyth go
0,yeah hope tyler ca could mayb ask around bit,67,16,1,yeah hope tyler ca could mayb ask around bit
0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,148,37,4,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
0,think first time saw class,58,14,2,think first time saw class
0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,124,35,1,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
0,k fyi x ride earli tomorrow morn crash place tonight,80,17,1,k fyi x ride earli tomorrow morn crash place tonight
0,wow never realiz embarass accomod thought like sinc best could alway seem happi sorri give sorri offer sorri room embarass,291,69,6,wow never realiz embarass accomod thought like sinc best could alway seem happi sorri give sorri offer sorri room embarass
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120,27,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find lt url gt,76,20,2,know mallika sherawat yesterday find lt url gt
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,161,37,7,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
0,sorri call later meet,34,9,1,sorri call later meet
0,tell reach,22,4,1,tell reach
0,ye gauti sehwag odi seri,40,10,1,ye gauti sehwag odi seri
0,gon na pick 1 burger way home ca even move pain kill,108,29,3,gon na pick 1 burger way home ca even move pain kill
0,ha ha ha good joke girl situat seeker,48,11,2,ha ha ha good joke girl situat seeker
0,part check iq,25,6,1,part check iq
0,sorri roommat took forev ok come,56,14,1,sorri roommat took forev ok come
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,110,26,2,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
1,valu custom pleas advis follow recent review mob award bonu prize call 09066364589,153,31,2,valu custom plea advi follow recent review mob award bonu prize call 09066364589
0,today dedic day song u dedic send ur valuabl frnd first rpli,124,29,2,today dedic day song u dedic send ur valuabl frnd first rpli
1,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj,161,34,3,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj
1,hear new come ken stuff,80,20,2,hear new come ken stuff
0,plane give month end,34,9,1,plane give month end
0,wah lucki man save money hee,46,11,1,wah lucki man save money hee
0,finish class,29,6,1,finish class
0,hi babe im home wan na someth xx,45,12,2,hi babe im home wan na someth xx
0,k k perform,42,14,1,k k perform
0,u call,20,6,1,u call
0,wait machan call free,43,11,2,wait machan call free
0,that cool gentleman treat digniti respect,73,16,2,cool gentleman treat digniti respect
0,like peopl much shi pa,50,14,1,like peopl much shi pa
0,oper lt gt,42,13,1,oper lt gt
0,still look job much ta earn,76,20,3,still look job much ta earn
0,sorri call later,22,6,1,sorri call later
0,call ah,32,9,1,call ah
0,ok way home hi hi,32,10,1,ok way home hi hi
0,place man,36,9,1,place man
0,yup next stop,14,4,1,yup next stop
0,call later network urgnt sm,55,16,2,call later network urgnt sm
0,real u get yo need 2 ticket one jacket done alreadi use multi,121,30,3,real u get yo need 2 ticket one jacket done alreadi use multi
0,ye start send request make pain came back back bed doubl coin factori got ta cash nitro,144,36,3,ye start send request make pain came back back bed doubl coin factori got ta cash nitro
0,realli still tonight babe,42,10,1,realli still tonight babe
0,ela il download come wen ur free,41,11,1,ela il download come wen ur free
0,yeah stand close catch someth,62,12,2,yeah stand close catch someth
0,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri,195,44,4,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri
0,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,141,28,2,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
1,pleas call custom servic repres 0800 169 6031 guarante cash prize,139,24,1,plea call custom servic repr 0800 169 6031 guarant cash prize
0,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,107,23,3,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
1,free rington wait collect simpli text password 85069 verifi get usher britney fml,125,26,4,free rington wait collect simpli text password 85069 verifi get usher britney fml
0,watch telugu movi wat abt u,33,8,1,watch telugu movi wat abt u
0,see finish load loan pay,51,13,2,see finish load loan pay
0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,184,47,5,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand cau prob u ham
0,pleas text anymor noth els say,57,14,2,plea text anymor noth el say
0,okay name ur price long legal wen pick u ave x am xx,81,23,3,okay name ur price long legal wen pick u ave x xx
0,still look car buy gone 4the drive test yet,76,19,2,still look car buy gone 4the drive test yet
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,183,44,5,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
0,umma life vava umma love lot dear,44,10,1,umma life vava umma love lot dear
0,thank lot wish birthday thank make birthday truli memor,95,19,2,thank lot wish birthday thank make birthday truli memor
0,aight hit get cash,43,12,1,aight hit get cash
0,would ip address test consid comput minecraft server,82,15,1,would ip address test consid comput minecraft server
0,know grumpi old peopl mom like better lie alway one play joke,115,28,4,know grumpi old peopl mom like better lie alway one play joke
0,dont worri guess busi,30,9,2,dont worri guess busi
0,plural noun research,40,9,1,plural noun research
0,go,31,6,1,go
0,ok wif co like 2 tri new thing scare u dun like mah co u said loud,96,28,3,ok wif co like 2 tri new thing scare u dun like mah co u said loud
1,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,159,33,7,gent tri contact last weekend draw show prize guarant call claim code k52 valid 12hr 150ppm
0,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,143,34,3,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
0,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,156,40,6,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went
1,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim,153,32,1,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim
0,goodo ye must speak friday ratio tortilla need,72,14,2,goodo ye must speak friday ratio tortilla need
0,hmm uncl inform pay school directli pl buy food,86,20,2,hmm uncl inform pay school directli pl buy food
1,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,144,23,3,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
1,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm,157,30,4,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm
0,new address pair malarki,53,12,1,new address pair malarki
1,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,156,29,2,today voda number end 7548 select receiv 350 award match plea call 08712300220 quot claim code 4041 standard rate app
0,go sao mu today done 12,52,14,2,go sao mu today done 12
0,ìï predict wat time finish buy,40,9,1,ìï predict wat time finish buy
0,good stuff,20,6,1,good stuff
0,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,244,56,4,know yetund sent money yet sent text bother send dont involv anyth impo anyth first place apolog
0,room,22,6,1,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107,31,5,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,k k much cost,28,11,1,k k much cost
0,home,9,4,1,home
0,dear call accomod,39,7,1,dear call accomod
0,first answer question,25,5,1,first answer question
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,126,29,3,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
1,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p,162,36,6,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p
0,haf msn yiju,38,10,2,haf msn yiju
0,call meet,34,9,2,call meet
0,check room befor activ,46,10,2,check room befor activ
1,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,155,35,2,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
0,got c lazi type forgot lect saw pouch like v nice,86,24,4,got c lazi type forgot lect saw pouch like v nice
0,k text way,33,10,1,k text way
0,sir wait mail,27,7,1,sir wait mail
0,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,158,34,1,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
0,know pl open back,42,12,2,know pl open back
0,ye see ya dot,25,7,1,ye see ya dot
0,what staff name take class us,48,11,1,staff name take class us
1,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end,159,35,3,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end
0,call check life begin qatar pl pray hard,84,16,1,call check life begin qatar pl pray hard
0,k delet contact,33,9,1,k delet contact
0,sindu got job birla soft,30,7,1,sindu got job birla soft
0,wine flow never,45,11,1,wine flow never
0,yup thk cine better co need 2 go 2 plaza mah,59,16,1,yup thk cine better co need 2 go 2 plaza mah
0,ok ur typic repli,25,6,1,ok ur typic repli
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,384,95,5,everywh dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
0,aaooooright work,28,6,1,aaooooright work
0,leav hous,27,7,1,leav hou
0,hello love get interview today happi good boy think miss,157,41,6,hello love get interview today happi good boy think miss
1,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,124,21,3,custom servic annonc new year deliveri wait plea call 07046744435 arrang deliveri
1,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,146,30,1,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810
0,keep safe need miss alreadi envi everyon see real life,115,25,1,keep safe need miss alreadi envi everyon see real life
0,new car hous parent new job hand,64,19,2,new car hou parent new job hand
0,love excit day spend make happi,85,24,3,love excit day spend make happi
1,stop bootydeli invit friend repli see stop send stop frnd 62468,152,29,3,stop bootyd invit friend repli see stop send stop frnd 62468
1,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu,155,35,5,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu
0,place ur point e cultur modul alreadi,51,11,1,place ur point e cultur modul alreadi
1,urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr,157,32,6,urgent tri contact last weekend draw show prize guarant call claim code s89 valid 12hr
0,hi frnd best way avoid missunderstd wit belov one,74,16,1,hi frnd best way avoid missunderstd wit belov one
0,great escap fanci bridg need lager see tomo,67,15,3,great escap fanci bridg need lager see tomo
0,ye complet form clark also utter wast,59,16,1,ye complet form clark also utter wast
0,sir need axi bank account bank address,50,12,1,sir need axi bank account bank address
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,94,25,2,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
0,time come later,33,7,1,time come later
0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,105,24,2,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
0,well gon na finish bath good fine night,61,18,2,well gon na finish bath good fine night
0,let know got money carlo make call,65,15,1,let know got money carlo make call
0,u still go mall,26,7,1,u still go mall
0,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth,146,43,1,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth
0,text doesnt repli let know log,66,17,2,text doesnt repli let know log
0,hi spoke maneesha like know satisfi experi repli toll free ye,126,29,3,hi spoke maneesha like know satisfi experi repli toll free ye
0,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,159,34,4,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
0,lol u trust,23,8,2,lol u trust
0,gentleman treat digniti respect,65,15,2,gentleman treat digniti respect
0,guy close,24,7,1,guy close
0,go noth,26,4,1,go noth
0,hello handsom find job lazi work toward get back net mummi boytoy miss,152,33,6,hello handsom find job lazi work toward get back net mummi boytoy miss
0,haha awesom minut,34,8,1,haha awesom minut
1,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize,149,25,1,plea call custom servic repr freephon 0808 145 4742 guarant cash prize
0,got xma radio time get,55,14,2,got xma radio time get
0,ju reach home go bath first si use net tell u finish k,88,22,3,ju reach home go bath first si use net tell u finish k
1,uniqu enough find 30th august,72,12,3,uniqu enough find 30th august
0,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great,185,44,5,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great
0,hi final complet cours,37,10,1,hi final complet cour
0,stop howev suggest stay someon abl give or everi stool,111,24,2,stop howev suggest stay someon abl give everi stool
0,hope settl new school year wishin gr8 day,92,22,3,hope settl new school year wishin gr8 day
0,gud mrng dear hav nice day,28,7,1,gud mrng dear hav nice day
0,u got person stori,28,6,1,u got person stori
0,hamster dead hey tmr meet 1pm orchard mrt,64,16,2,hamster dead hey tmr meet 1pm orchard mrt
0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,131,34,4,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
0,found enc lt gt,40,16,1,found enc lt gt
0,sent lt gt buck,28,11,1,sent lt gt buck
0,hello darlin ive finish colleg txt u finish u love kate xxx,84,18,1,hello darlin ive finish colleg txt u finish u love kate xxx
0,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,174,44,3,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
0,goodmorn sleep ga,24,4,1,goodmorn sleep ga
0,u call alter 11 ok,25,8,1,u call alter 11 ok
0,ìï say like dat dun buy ericsson oso oredi lar,64,15,1,ìï say like dat dun buy ericsson oso oredi lar
0,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,156,40,6,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went
0,aight yo dat straight dogg,28,6,1,aight yo dat straight dogg
0,pleas give us connect today lt decim gt refund bill,86,19,1,plea give us connect today lt decim gt refund bill
0,shoot big load get readi,39,11,1,shoot big load get readi
0,bruv hope great break reward semest,73,18,2,bruv hope great break reward semest
0,home alway chat,26,6,1,home alway chat
0,k k good studi well,23,12,1,k k good studi well
0,yup noe leh,24,7,1,yup noe leh
0,sound great home,31,8,2,sound great home
0,final match head toward draw predict,58,10,1,final match head toward draw predict
0,tire slept well past night,48,12,2,tire slept well past night
0,easi ah sen got select mean good,41,10,1,easi ah sen got select mean good
0,take exam march 3,32,8,1,take exam march 3
0,yeah think use gt atm regist sure anyway help let know sure readi,159,40,4,yeah think use gt atm regist sure anyway help let know sure readi
0,ok prob take ur time,25,8,2,ok prob take ur time
0,os call ubandu run without instal hard disk use os copi import file system give repair shop,161,33,1,os call ubandu run without instal hard disk use os copi import file system give repair shop
0,sorri call later,22,6,1,sorri call later
0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,119,30,3,u say leh cour noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
1,500 new mobil 2004 must go txt nokia 89545 collect today 2optout,143,27,2,500 new mobil 2004 must go txt nokia 89545 collect today 2optout
0,would realli appreci call need someon talk,69,15,2,would realli appreci call need someon talk
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari,137,34,3,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari
0,hey compani elama po mudyadhu,30,6,1,hey compani elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,165,35,4,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
0,dear good morn,34,8,1,dear good morn
0,get gandhipuram walk cross cut road right side lt gt street road turn first right,109,28,2,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,dear go rubber place,37,8,1,dear go rubber place
0,sorri batteri die yeah,33,8,1,sorri batteri die yeah
0,ye tv alway avail work place,48,12,1,ye tv alway avail work place
1,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc,157,40,5,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc
0,print oh lt gt come upstair,50,16,2,print oh lt gt come upstair
0,ill littl closer like bu stop street,65,15,1,ill littl closer like bu stop street
0,wil reach,38,10,1,wil reach
0,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,145,37,6,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
1,u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597,145,27,1,u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597
0,tomarrow final hear laptop case cant,51,11,1,tomarrow final hear laptop case cant
0,pleassssssseeeee tel v avent done sportsx,45,7,1,pleassssssseeee tel v avent done sportsx
0,okay shine meant sign sound better,83,21,3,okay shine meant sign sound better
0,although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch,155,38,1,although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch
0,u rememb old commerci,37,8,1,u rememb old commerci
0,late said websit dont slipper,78,20,3,late said websit dont slipper
0,ask call ok,30,8,1,ask call ok
0,kalli wont bat 2nd inning,31,7,1,kalli wont bat 2nd inning
0,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,146,34,4,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
1,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc,150,23,1,congratul ur award 500 cd voucher 125gift guarant free entri 2 100 wkli draw txt music 87066 tnc
0,ranjith cal drpd deeraj deepak 5min hold,44,8,1,ranjith cal drpd deeraj deepak 5min hold
0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,179,41,2,wen ur lovabl bcum angri wid u dnt take seriou coz angri childish n true way show deep affect care n luv kettoda manda nice day da
0,,27,8,1,
0,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,179,40,2,3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff
0,back lem know readi,38,11,1,back lem know readi
0,necessarili expect done get back though headin,97,20,1,necessarili expect done get back though headin
0,mmm yummi babe nice jolt suzi,43,10,1,mmm yummi babe nice jolt suzi
0,lover need,36,9,2,lover need
1,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,154,31,5,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705
0,park next mini come today think,74,20,2,park next mini come today think
0,yup,3,1,1,yup
0,anyway go shop co si done yet dun disturb u liao,85,22,3,anyway go shop co si done yet dun disturb u liao
0,luton 0125698789 ring ur around h,51,14,3,luton 0125698789 ring ur around h
1,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,121,25,1,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698
0,dint come us,26,7,1,dint come us
0,wana plan trip sometm,35,8,2,wana plan trip sometm
0,sure yet still tri get hold,47,12,1,sure yet still tri get hold
1,ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt,159,32,6,ur rington servic chang 25 free credit go choo content stop txt club stop 87070 club4 po box1146 mk45 2wt
0,evo download flash jealou,47,12,3,evo download flash jealou
1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,133,27,2,rington club get uk singl chart mobil week choo top qualiti rington messag free charg
0,come mu sort narcot situat,53,11,1,come mu sort narcot situat
0,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,147,32,2,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
1,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info,155,30,4,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info
0,usf guess might well take 1 car,37,10,1,usf guess might well take 1 car
0,object bf come,31,8,2,object bf come
0,thanx,8,2,1,thanx
0,tell rob mack gf theater,38,9,1,tell rob mack gf theater
0,awesom see bit,30,9,1,awesom see bit
0,sent type food like,47,13,2,sent type food like
0,done hand celebr full swing yet,56,13,3,done hand celebr full swing yet
0,got call tool,22,6,1,got call tool
0,u miss someon,19,4,1,u miss someon
0,ask money far,29,8,2,ask money far
0,oki,7,2,1,oki
0,yeah think usual guy still pass last night get ahold anybodi let know throw,121,28,1,yeah think usual guy still pass last night get ahold anybodi let know throw
0,k might come tonight class let earli,58,14,1,k might come tonight class let earli
0,ok,4,2,1,ok
0,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,148,36,2,hi babi im cruisin girl friend r u 2 give call hour home alright fone fone love jenni xxx
0,life mean lot love life love peopl life world call friend call world ge,160,45,1,life mean lot love life love peopl life world call friend call world ge
0,dear shall mail street shall updat look edukkukaye raksha good one real sens,152,26,1,dear shall mail street shall updat look edukkukay raksha good one real sen
0,hey told name gautham ah,37,9,1,hey told name gautham ah
0,haf u found feel stupid da v cam work,55,15,2,haf u found feel stupid da v cam work
0,oop 4 got bit,21,7,2,oop 4 got bit
0,much buzi,22,5,1,much buzi
0,accident delet messag resend pleas,50,9,2,accid delet messag resend plea
1,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli,159,33,2,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli
0,unless situat go gurl would appropri,67,13,1,unless situat go gurl would appropri
0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,153,39,2,hurt tea make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pl send messag,51,12,2,cant pick phone right pl send messag
0,need coffe run tomo ca believ time week alreadi,67,16,1,need coff run tomo ca believ time week alreadi
0,awesom rememb last time got somebodi high first time diesel v,88,19,1,awesom rememb last time got somebodi high first time diesel v
0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,157,36,3,shit realli shock scari cant imagin second def night u think somewh could crash night save taxi
0,oh way food fridg want go meal tonight,91,23,2,oh way food fridg want go meal tonight
0,womdarful actor,24,5,1,womdar actor
